texto,categoria
"Este documento presenta el Modelo Academico que guoa el régimen pedagógico y organizacional de la Universidad San Francisco Xavier. Establece los principios, objetivos y estructuras que orientan la educación universitaria hacia un enfoque humanista y sistémico, respondiendo a las necesidades de la sociedad y proyectando un perfil educativo integral.",Academico y Evaluacion
"La Universidad se compromete a formar profesionales con conciencia social, principios democráticos, y respeto por el medio ambiente, orientados al desarrollo social y científico.",Academico y Evaluacion
"El modelo académico incluye un enfoque socio-sistémico, integrando disciplinas y promoviendo la interrelación entre facultades y programas, organizándose en áreas de formación básica, general y profesional.",Academico y Evaluacion
"El Centro de Interacción Social, Investigación y Desarrollo (CISID) promueve la investigación y colaboración con instituciones locales e internacionales, fomentando la innovación y práctica en proyectos relevantes para la sociedad.",Academico y Evaluacion
"El Modelo Academico de 20o0 en la Universidad San Francisco Xavier es un enfoque integral y humanista, orientado a formar profesionales preparados para contribuir al desarrollo socioeconómico, con una base sólida de valores y un enfoque sistémico de enseñanza e investigación.",Academico y Evaluacion
"Este conjunto de reglamentos cubre diversas actividades, políticas y normas dentro de la Facultad de Ciencias y Tecnología de la Universidad. Incluye aspectos relacionados con actividades académicas, internacionalización, equipamiento e infraestructura, programas de posgrado, y objetivos institucionales.",Administracion y Gestion Institucional
"Conclusión del proceso de autoevaluación de la Carrera de Ingeniería Ambiental bajo los lineamientos del Comité Ejecutivo de la Universidad Boliviana (CEUB). Autoevaluación en progreso de todas las carreras de la facultad, con el objetivo de lograr la acreditación externa en el futuro.",Administracion y Gestion Institucional
"Colaboración con la Universidad de La Guajira de Colombia en actividades como el Coloquio Virtual Internacional de Ingeniería de Sistemas y proyectos de aulas virtuales. Participación en el Consejo Global de Decanos de Ingeniería de Latinoamérica (GEDC LATAM), abordando temas de adaptación y desafíos para la ingeniería en el contexto de la pandemia de Covid-19.",Administracion y Gestion Institucional
"La Facultad ha desarrollado cursos de formación continua para docentes y estudiantes, y ha lanzado programas nacionales en Física, Redes de Datos y Seguridad Informática. En colaboración con la Facultad de Derecho, se está preparando un programa de Maestría en Derecho Informático.",Administracion y Gestion Institucional
"Este documento proporciona una visión integral de las actividades, normas, y objetivos de la Facultad de Ciencias y Tecnología. Subraya el compromiso con la calidad académica, la internacionalización, y el desarrollo de infraestructura para brindar una educación de excelencia y preparar a los estudiantes para enfrentar los desafíos actuales en ingeniería y tecnología.",Administracion y Gestion Institucional
"El objetivo de esta convocatoria es ofrecer becas a estudiantes de la Universidad San Francisco Xavier de Chuquisaca, con el propósito de apoyar el rendimiento académico, facilitar su profesionalización y brindar asistencia a aquellos con dificultades socioeconómicas.",Apoyo y Bienestar Estudiantil
"Las becas se otorgan a estudiantes regulares con los siguientes tipos de becas disponibles para 2024: Beca Socioeconómica, Beca Regional de Incentivo, Beca Excelencia Académica 'Estudio', Beca Investigación, Beca Interacción Social y Extensión Universitaria, Beca Auxiliares de Docencia, Beca Deporte, Beca Cultura, Beca Asistente de Laboratorio, Beca de Internado Área Salud, y Beca de Prácticas Clínicas.",Apoyo y Bienestar Estudiantil
"Cada modalidad de beca cuenta con requisitos específicos, como el formulario de registro, documentación académica, y comprobantes de situación socioeconómica. La postulación debe realizarse entre el 26 de febrero y el 5 de abril del 2024.",Apoyo y Bienestar Estudiantil
"La selección y verificación de requisitos serán realizados por comisiones específicas para cada tipo de beca, con criterios que consideran el mérito académico, situación económica y desempeño en actividades relacionadas con cada tipo de beca.",Apoyo y Bienestar Estudiantil
"Los estudiantes deben considerar varias inhabilitaciones, como no postular a más de una beca, no ser profesional titulado y no repetir asignaturas en exceso.",Apoyo y Bienestar Estudiantil
"Este reglamento regula la carrera del docente-investigador en la Universidad San Francisco Xavier, estableciendo las normas para la admisión, categorización, permanencia y promoción de los investigadores. Asegura la calidad en los procesos investigativos, fomenta la producción científica y promueve la investigación de alto impacto en beneficio de la comunidad académica y social.",Investigacion y Docencia
"Objeto y Ámbito de Aplicación: Define los procedimientos, derechos y obligaciones de los docentes-investigadores. Abarca todas las áreas de investigación dentro de la universidad, aplicándose a docentes y colaboradores en proyectos de investigación.",Investigacion y Docencia
"Fortalecimiento de la Comunidad Investigativa: Consolidar una comunidad de investigadores comprometidos con la innovación y el desarrollo científico. Relevancia Social: Enfocar la investigación en temas que aporten a la sociedad en ámbitos locales, nacionales e internacionales.",Investigacion y Docencia
"Los docentes-investigadores son profesionales altamente capacitados en su área de conocimiento, encargados de diseñar y ejecutar investigaciones con rigor científico y ético, además de contribuir a la formación de nuevos investigadores.",Investigacion y Docencia
"Responsabilidades del Docente-Investigador: Incluyen la enseñanza en grado y posgrado, desarrollo de proyectos, publicación en revistas de alto impacto, y asesoramiento en su campo de especialidad.",Investigacion y Docencia
"El Comité de Evaluación se encarga de supervisar el ingreso, permanencia y promoción de los docentes-investigadores. Evalúa su desempeño semestralmente y determina los ascensos de categoría.",Investigacion y Docencia
"Este reglamento regula el proceso de convocatoria, elección y funciones del Claustro Universitario en la Universidad San Francisco Xavier de Chuquisaca. Define los procedimientos para la elección de autoridades como Rector, Vicerrector, Decanos y Directores de Carrera, así como las atribuciones de la Comisión Electoral y los requisitos para los candidatos.",Investigacion y Docencia
La convocatoria al Claustro Universitario es realizada por el Rector en ejercicio para la elección de las autoridades universitarias y se hace pública al menos 100 días antes del término de los mandatos de las autoridades salientes.,Investigacion y Docencia
"El electorado incluye a los docentes ordinarios y estudiantes regulares. La participación en el proceso electoral es obligatoria para docentes y estudiantes, con sanciones para quienes no participen. Se prohíbe el uso de recursos universitarios para propaganda electoral.",Investigacion y Docencia
"Para postular a Rector o Vicerrector, se requiere ser boliviano de nacimiento, tener al menos 35 años, poseer un título de Maestría y contar con un mínimo de cinco años de experiencia en la docencia universitaria.",Investigacion y Docencia
"Las elecciones se realizan mediante voto directo y secreto, y los candidatos deben obtener al menos el 50% de los votos de ambos estamentos (docente y estudiantil) para ser elegidos en primera vuelta. En caso de empate, se procede a una segunda vuelta.",Investigacion y Docencia
"Este reglamento establece los principios éticos y normas de comportamiento que deben guiar la conducta de los miembros de la sociedad científica SCETIC. La investigación científica es fundamental en las universidades, ya que promueve el pensamiento lógico, la creatividad y contribuye al avance del conocimiento. Este código busca fomentar una convivencia saludable en la comunidad científica.",Conducta y Disciplina
Relación con el Medio Ambiente: Los miembros deben proteger la biodiversidad y minimizar el impacto ambiental de sus investigaciones.,Conducta y Disciplina
"Uso de Recursos: Los recursos económicos y materiales deben usarse eficientemente, evitando el uso personal sin justificación.",Conducta y Disciplina
